Q31	country in western Europe
Q369970	archdiocese in El Salvador
Q371395	ruling political party in Singapore
Q371625	senior college of the City University of New York, located in Brooklyn
Q371908	museum of art in the Innere Stadt of Vienna, Austria
Q372043	populist, conservative political party in Slovakia
Q372657	Swiss multinational banking institution
Q373077	municipality of Germany
Q374139	diocese of the Catholic Church
Q374477	city in Tochigi Prefecture, Japan
Q377500	group of Belgian museums in Brussels
Q378134	French-speaking university in Belgium
Q379652	ancient city in eastern Macedonia, in the Edonis region
Q379873	1988 film directed by Robert Zemeckis
Q380523	a proprietary programming language of the software company SAP, for programming commercial applications in the SAP environment
Q380667	2010 science fiction film directed by Nimród Antal
Q381124	governing body of association football in Belgium
Q381375	armed conflict that took place in the late 1980s to May 1994
Q381677	airport
Q382121	supertall skyscraper in Nanjing, Jiangsu, China
Q382324	Finnish association football club
Q383994	programming language
Q384755	city in Ontario, Canada
Q385042	association football club
Q385051	railway line in Japan
Q385496	association football club
Q385779	city in Yamagata prefecture, Japan
Q386435	railway line
Q386628	city in Ehime Prefecture, Japan
Q386655	city in Ehime Prefecture, Japan
Q386880	American police procedural comedy-drama television series (2009-2016)
Q387812	national association football team
Q388360	2007 mystery adventure film by Jon Turteltaub
Q389213	municipality in Friesland, the Netherlands
Q391789	Sports club in Gothenburg, Sweden
Q392125	2002 television anime
Q392897	technical university in Turin, Italy
Q393426	Czech city
Q395863	city in Egypt
Q403312	Novel by Rieko Yoshihara
Q406009	programming language
Q406655	proprietary file sharing from iOS to MacOS (vice versa), or iOS to iOS device
Q407498	airline based in Mali
Q407719	national airline of Fiji
Q407783	National airline of the Seychelles
Q408089	poisoning caused by mercury chemicals
Q408510	chemical compound
Q408626	chemical compound
Q413968	chemical compound
Q415251	mountain in Gunma Prefecture, Japan
Q416098	town on Banks Peninsula, New Zealand
Q417240	chemical compound
Q417362	chemical compound
Q417403	chemical compound
Q420480	diocese of the Catholic Church
Q421665	association football club in Serbia
Q421739	open public university
Q422082	armed military conflict between the people of the Philippines and the Spanish colonial authorities
Q424160	semi-annual Japanese literary award
Q424813	city in Hyōgo Prefecture, Japan
Q426247	football tournament
Q427292	municipality of Germany
Q427422	municipality in Västra Götaland County, Sweden
Q427446	Chilean team
Q427792	town in the Vale of Glamorgan, south Wales
Q428520	university in Albania
Q428641	political party
Q429642	political party in Colombia
Q430584	city in Ibaraki Prefecture, Japan
Q430776	city in Israel; predominantly inhabited by Muslim-Arab citizens of Israel; a center of Christian pilgrimage as the childhood home of Jesus
Q431139	football club in Montenegro
Q431889	city in Kōchi Prefecture, Japan
Q434841	American film studio
Q435295	city in Landkreis Nürnberger Land in Germany
Q435623	regional parliament
Q437808	anime series directed by Yasuhiro Irie
Q440082	former skyscraper in New York City
Q453925	Football club
Q456586	theatre in Munich, Germany
Q459218	association football club in Slovakia
Q459787	city of the Philippines and capital of the province of Iloilo
Q459794	association football club in Italy
Q460889	Spain's national museum of 20th century art
Q462127	diocese of the Catholic Church
Q462411	association football club in Croatia
Q462789	city in Lee County, Florida, United States
Q462840	town in Slovakia
Q465332	The peer-reviewed journal of the Archaeological Institute of America.
Q465478	1982 film directed by Nicholas Meyer
Q465811	national park in Washington, D.C.
Q468181	education organization in Dresden, Germany
Q468474	former currency of Portugal from 1911 until 1999
Q471136	Canadian Football League team based in Ottawa, Ontario
Q471728	American weekly entertainment magazine
Q476539	french association football knockout tournament
Q476688	city in Sumy Oblast, Ukraine
Q476911	diocese of the Catholic Church
Q478029	town, civil parish and port on the River Fal in Cornwall, England
Q478214	American automotive, energy storage and solar power company
Q478282	submunicipality of Amsterdam
Q478670	borough of Amsterdam in North Holland, Netherlands
Q478797	city in West Flanders, Belgium
Q482403	South Korea's professional association football (soccer) league including the first division K League 1 and the second division K League 2
Q482735	South Korean university
Q482765	Universities in South Korea
Q482993	city in Summit County, Utah, United States
Q483281	budget airline
Q483566	Japanese light novel series
Q483654	denomination of Islam
Q483656	University in Iksan, South Korea
Q483725	currency
Q483802	Canadian rock band
Q483965	association football club in Greece
Q483969	municipality in Viken, Norway
Q484046	former municipality in Møre og Romsdal in Norway
Q484093	municipality in Innlandet, Norway
Q484252	municipality in Nordland, Norway
Q484322	municipality in Nordland, Norway
Q484427	English rock band
Q485329	municipality of Galicia, Spain, in the La Coruña province
Q485811	American pop punk band
Q486195	city in Uzbekistan
Q486233	2011 video game
Q486704	municipality in Viken, Norway
Q486713	municipality in Innlandet, Norway
Q487278	municipality of Germany
Q487321	national association football team
Q487538	municipality in Nordland, Norway
Q487556	Australian university founded in 1850
Q487648	municipality in Skåne County, Sweden
Q487921	city in Baden-Württemberg, Germany
Q487977	city in Johnson County, Iowa
Q488157	former municipality in Sør-Trøndelag, Norway
Q488380	former municipality in Møre og Romsdal, Norway
Q488443	public holiday in North and South Koreas (15th of August), celebrating the surrender of the Japanese Empire (which had annexed Korea) at the end of the Second World War
Q488513	town in Germany
Q488975	municipality in Vestland, Norway
Q488992	diocese of the Catholic Church in the United States
Q489147	municipality of Thuringia
Q489253	Seoul Subway Line 4 (dubbed The Blue Line) of the Seoul Metropolitan Subway is a long line crossing from the southwest to the northeast across the Seoul National Capital Area. The central
Q489331	University in South Korea
Q489815	division of the German logistics company Deutsche Post DHL providing international express mail services
Q489911	town in Baden-Württemberg, Germany
Q489932	municipality of Germany
Q490038	former municipality in Troms, Norway
Q490182	South Korea pay television channel centred on broadcasting music videos
Q490385	county seat of Monroe County, Indiana, United States
Q490521	town in Brandenburg state, Germany
Q490587	city in Mississippi
Q490872	city in Ōsaka Prefecture, Japan
Q491123	city in Kazakhstan
Q491239	city in Stark County, Ohio, United States
Q491350	city in California, United States
Q491511	private university in Seoul, South Korea
Q491603	city in the region of North Karelia in Finland
Q491841	Japanese light novel series
Q492209	municipality in Trøndelag, Norway
Q492355	independent city in Virginia, United States
Q493066	municipality in Stockholm County, Sweden
Q493353	Ministry of Defence of Germany
Q493794	city in and county seat of Dubuque, Iowa, United States
Q493999	municipality in Trøndelag, Norway
Q494018	municipality in Troms og Finnmark, Norway
Q494049	former municipality in Sogn og Fjordane, Norway
Q494247	French university in Rouen. Founded in 1966
Q494283	municipality in Austria
Q494733	seat of Main-Kinzig-Kreis and town in Hesse, Germany
Q495005	national library
Q495330	Private university, whose main office is in Tokyo's Shibuya district., Japan
Q495361	city in Shasta County, California, United States
Q495366	17th edition of the Asian Games
Q495372	securities exchange operator in South Korea
Q495821	city in Nagano Prefecture, Japan
Q496667	city in Hokkaido, Japan
Q497520	Airport rail link in Toronto, Ontario, Canada
Q498477	municipality in Halland County, Sweden
Q498533	first American orbital spaceflight
Q498825	South Korean public service broadcaster
Q498857	municipality in Skåne County, Sweden
Q498930	Japanese railway company
Q499189	county seat of Merced County, California, United States
Q499421	municipality in Västra Götaland County, Sweden
Q499470	city in Ilam Province, Iran
Q499588	municipality in West Flanders, Belgium
Q499609	city in Limburg, Belgium
Q499786	former municipality in Vestfold, Norway to 2018
Q499887	city in Cook and Kane counties in the northern part of the U.S. state of Illinois
Q499922	municipality of Bahia State, Brazil
Q500205	municipality in Møre og Romsdal, Norway
Q500322	14th edition of the Mediterranean Games
Q500400	commune in Haut-Rhin, France
Q500851	video game
Q501003	bridge in London, England
Q501205	municipality in Värmland County, Sweden
Q501401	former municipality in Vest-Agder, Norway
Q501459	municipality in Västra Götaland County, Sweden
Q501785	independent city in Virginia, United States
Q501841	university in Turku, Finland
Q502044	advocacy group
Q502125	Passenger railway service provider in west Japan
Q502205	city in Hokkaido, Japan
Q502249	Spanish municipality
Q502370	municipality of Germany
Q502401	human settlement in Germany
Q502434	municipality of Germany
Q502441	town in Germany
Q502646	municipality in Germany
Q502745	municipality in Landkreis Bayreuth in Germany
Q502762	town in Germany
Q502865	city in Landkreis Nürnberger Land in Germany
Q502981	city in Iwate prefecture, Japan
Q503127	municipality in Västra Götaland County, Sweden
Q503213	municipality of Germany
Q503214	municipality in Västra Götaland County, western Sweden
Q503285	municipality in Germany
Q503308	airline in the United States
Q504063	website and database about audio recordings
Q504069	Swedish political party
Q504309	Major League Baseball team in St. Louis, Missouri, United States
Q504348	municipality in Thuringia, Germany
Q504533	municipality of Germany
Q504544	municipality in Bavaria, Germany
Q504639	town in the district of Kitzingen, Regierungsbezirk Unterfranken, Bavaria, Germany
Q505191	municipality of Germany
Q505665	town in the north of Celle district on the Lüneburg Heath, in Lower Saxony, Germany
Q505955	town in Baden-Württemberg, Germany
Q505956	former municipality in Vest-Agder, Norway
Q506230	county in Indiana, United States
Q506451	county seat of Lee County, Florida, United States
Q506693	town in Slovakia
Q506707	city in West Flanders, Belgium
Q508107	municipality in Landkreis Amberg-Sulzbach in Germany
Q508153	municipality in Kalmar County, Sweden
Q508440	association football club
Q508531	ballistic missile submarine
Q509250	Japanese private university
Q509284	email, cloud storage, collaboration tools, hardware, administration, social media and other business apps
Q509952	town in Brandenburg state, Germany
Q511270	municipality in Västra Götaland County, Sweden
Q511342	Diocese in the Anglican Church
Q511407	municipality in Värmland County, Sweden
Q511426	municipality in Västra Götaland County, Sweden
Q511543	railway line in Japan
Q513145	association football club in Japan
Q515358	municipality in Västra Götaland County, Sweden
Q515425	association football club
Q515477	municipality in Kalmar County, Sweden
Q515710	municipality in Flemish Brabant, Belgium
Q515958	German city
Q517639	General election in the United Kingdom
Q522390	municipality of Germany
Q522557	municipality of Germany
Q522691	municipality of Germany
Q523642	town in Brandenburg state, Germany
Q523857	October 1777 battle during the American Revolutionary War
Q524233	city in Oklahoma, USA
Q524378	association football club in Germany
Q525169	university in Shanghai, China
Q525981	Presidential library and museum for U.S. President Harry S. Truman, located in Independence, Missouri
Q526332	2006 television anime
Q526335	city in Hungary
Q527391	UK coastal town and civil parish in East Riding of Yorkshire, England
Q528042	Croatian region
Q529176	municipality of Germany
Q530107	municipality of Germany
Q530780	municipality of Germany
Q532822	university in Sassari, Italy
Q533241	city in Ibaraki Prefecture, Japan
Q534634	municipality of Germany
Q536512	university in Australia
Q537214	town and administrative seat of Uckermark district, Brandenburg state, Germany
Q537223	airline
Q537850	communist party
Q538867	oceanic tectonic plate in the eastern Pacific Ocean basin
Q539284	2003 television anime
Q539528	market town and civil parish in the English county of Wiltshire
Q539538	former Royal castle in Beeston, Cheshire, England
Q539645	municipality in Germany
Q541679	Italian political party
Q542154	city of the Philippines and capital of the province of South Cotabato
Q542269	municipality of Zamora Province, Spain
Q543115	international sport governing body
Q544501	Small town in Lower Saxony, Germany
Q544560	company
Q546212	men's national handball team representing Hungary
Q547867	university in Athens, Greece
Q548278	British multinational banking and financial services company
Q548441	human settlement in Greater Bilbao, Biscay, Basque Country, Spain
Q548502	town in Caraș-Severin County, Romania
Q550526	diocese of the Catholic Church
Q551479	opera house in Brussels, Belgium
Q551676	municipality and town of Portugal
Q553756	municipality of Germany
Q554095	municipality of Germany
Q555635	association football club in Workington, England
Q555836	German semi-professional football division
Q558112	British TV series
Q559514	German municipality
Q560619	opera by Richard Wagner
Q564954	peer-reviewed open-access journal
Q565110	language
Q565847	American pay television channel focused towards family audiences
Q567884	Japanese novel, manga and anime
Q567910	the archdiocese of the Ecclesiastical Province of Indianapolis in Bishop's Region VII of the United States
Q569659	town in Landkreis Offenbach in Hesse, Germany
Q569678	town in Gallatin County, Montana, United States
Q570246	Morocco Football Championship
Q570578	military decoration of the Soviet Union
Q571182	central bank
Q571922	municipality in Bavaria, Germany
Q572572	commemorative medal of the Soviet Union
Q572865	volcano in Peru
Q572957	association football club in Peru
Q572968	French university based in Pau founded in 1970
Q573230	municipality in Upper Bavaria
Q573915	former airline in the German Democratic Republic
Q574469	City in Morocco
Q574961	museum of art in Haarlem, the Netherlands
Q574997	association football club
Q575355	city in Lake County, Illinois, United States
Q575407	town in McLean County, Illinois, United States
Q575453	Japan's professional association football (soccer) league including the first division J1 League, second division J2 League and third division J3 League
Q577511	city in Illinois, USA
Q577878	city in Illinois
Q578485	museum in Washington, D.C.
Q578491	The largest local league football team in Ghana
Q581920	municipality in the region of Lapland in Finland
Q581921	racial or ethnic group in the United States with Mexican ancestry
Q582078	railway line
Q582803	railway line in Japan
Q583725	national public health agency of the United States of America
Q583818	city in Kolhapur district in the Indian state of Maharashtra
Q583881	Soviet order
Q584340	county seat of St. Lucie County, Florida, United States
Q584443	town and civil parish in Gloucestershire, England
Q585758	American TV series set in Atlantic City during the Prohibition era
Q586356	award
Q586485	archdiocese
Q587085	city
Q587803	communist party
Q588834	city in New Jersey, United States
Q591378	1997 video game
Q591943	musical based upon George Bernard Shaw's Pygmalion
Q592145	city of Ukraine
Q592630	38th season of the Bundesliga
Q594276	municipality in Austria
Q595105	male given name
Q595889	U.S. science fiction television series
Q596486	city in Gunma Prefecture, Japan
Q597115	football tournament
Q597594	city in Aichi Prefecture, Japan
Q597946	Chilean private television network
Q600681	30th Bundesliga season
Q601050	video game
Q602515	association football club
Q602542	association football club
Q602571	city in Nara prefecture, Japan
Q602629	town in Landkreis Gießen in Hesse, Germany
Q602721	manga
Q602903	city in Akita Prefecture, Japan
Q602942	skyscraper
Q602976	municipality in the Czech Republic
Q603271	Swiss soccer club
Q604063	web-based database of marine species
Q604487	university in Estonia
Q604924	United States research institute
Q605233	Japanese holding company
Q606208	diocese of the Catholic Church
Q607337	1949 film
Q608293	town in Ulster County, New York, United States
Q608360	human settlement in Connecticut, USA
Q608427	U.S. federal executive department
Q609306	Linux-based mobile operating system
Q611109	diocese of the Catholic Church
Q611386	diocese of the Catholic Church
Q611553	archdiocese
Q611723	public research university located in Toronto, Ontario, Canada
Q612227	stadium at Vancouver, Canada
Q613627	commemorative medal of the Soviet Union
Q613634	manga series
Q613701	city in the region of Southern Savonia in Finland
Q613786	political party in France
Q613813	town in Vas county, Hungary
Q613931	association football club
Q615301	Japanese private medical university
Q615522	opera by Claudio Monteverdi
Q617643	Italian television channel
Q618131	Portuguese association football league
Q620499	Japanese association football club
Q620706	international airport in Djibouti
Q620735	2008 war between Russia and Georgia in South Ossetia
Q621277	audio coding format
Q621977	standards organization
Q622569	seat of Vogelsbergkreis and town in Hesse, Germany
Q623424	mountain pass in the Western Alpes
Q623464	municipality of Germany
Q623558	Amsterdam’s oldest building and oldest parish church
Q623903	first United States human spaceflight, on May 5, 1961
Q623906	supreme court
Q624352	municipality in Austria
Q624560	university in California, USA
Q624691	university
Q624798	Canadian Class I freight railway company
Q625458	city in Monterey County, California
Q627196	political party in Algeria
Q632558	university in Harbin, China
Q633521	association football club in Switzerland
Q633695	archdiocese
Q635842	journal
Q636188	capital of Ray County in Tehran Province of Iran
Q637169	2009 American computer-animated science fiction comedy film
Q637844	chess tournament
Q638260	Capital of the Colombian department of Huila
Q639241	city of Poland
Q639408	city in Ontario, Canada
Q639723	association football club in Gothenburg, Sweden
Q639791	art museum in New York City
Q641676	natural history museum and research center in the Leiden, The Netherlands
Q642433	American soccer team
Q642481	one of the main islands of the United States Virgin Islands
Q643447	Italian TV channel
Q643919	principal area in south-east Wales
Q644157	Swedish association football club based in Kalmar
Q644480	archdiocese
Q645032	cycling team
Q646135	American former association football club
Q646780	city in Akita Prefecture, Japan
Q647379	Russian novel by Nikolai Gogol
Q647417	city in Morocco
Q647460	political party in tsarist Russia
Q649895	university
Q650840	baseball team in Philadelphia, Pennsylvania, United States
Q650855	baseball team and Major League Baseball franchise in Detroit, Michigan, United States of America
Q650935	U.S. federal service academy for the Coast Guard
Q651061	German, legally independent political foundation affiliated with the Green Party
Q652091	political party in Tanzania
Q653704	railway line of Seibu Railway in Japan
Q654226	town in South Lanarkshire in Scotland
Q654980	railway station situated in the Spandau district of Berlin, Germany
Q656871	university in Sudan
Q658975	university located in Lausanne, Switzerland
Q659450	municipality of Brazil
Q659706	university
Q659790	municipality in Switzerland
Q660770	state-owned company in Russia
Q661038	city in Hiroshima Prefecture, Japan
Q661056	French university
Q661771	political party
Q662976	public research university in Paris, France created in 1971
Q663025	museum in Geneva (Switzerland)
Q664173	diocese of the Catholic Church
Q664721	Chinese airline
Q664835	7. district of Vienna
Q664845	2006 manga created and authored by Ryotaro Iwanaga, and anime of the manga
Q666577	municipality in Austria
Q667945	association football club
Q668699	political party in Spain
Q669010	American musical with a book by Arthur Laurents, music by Leonard Bernstein and lyrics by Stephen Sondheim
Q670406	opera house
Q671363	public university in Senegal
Q671642	university in Malawi
Q672289	International Airport in Malta
Q673354	Swiss university
Q674449	Open Air Museum
Q675576	city in Colorado, United States of America
Q676404	Naval warfare branch of Spain's military
Q678233	Electrified railway line in northeast USA
Q678286	railway station in Berlin
Q678582	national association football team
Q678982	public university located in Hannover, Germany
Q679041	organization responsible for disease control and prevention
Q680614	Art Deco skyscraper at the Rockefeller Center in Midtown Manhattan, New York City
Q680743	town in Hungary
Q681043	town and civil parish in southern Gloucestershire, England
Q681338	tabletop role-playing game
Q682733	novel by Franz Kafka
Q683458	political party
Q683724	national church
Q684621	7th season of the Bundesliga
Q684719	Switzerland's federal parliament
Q685390	A match between the Armenian Premier League Champion and Armenian Independence Cup Winner.
Q685491	city in Fukushima Prefecture, Japan
Q685557	university in Dortmund
Q686021	river in western Pennsylvania and New York, United States
Q686098	former political party in Russia
Q687175	state railway of the Federal Republic of Germany (1949–1993)
Q687709	central bank
Q689775	institute of technology in Austria
Q692386	railway line owned by Kintetsu in Japan's Kinki region
Q692825	administrative region in Québec, Canada
Q692922	mountain
Q692946	Crown land of the empire of Austria
Q693178	city in Hokkaidō, Japan
Q693552	space telescope
Q694370	city in Kyōto prefecture, Japan
Q694545	city in Kentucky
Q694783	diocese of the Catholic Church
Q694837	State Broadcasting Authority for the Free Hanseatic City of Bremen
Q694930	city in Aichi prefecture, Japan
Q696407	city in Ishikawa Prefecture, Japan
Q696412	city in Ōsaka Prefecture, Japan
Q696419	Japanese railway company in Manchuria
Q696840	city in Shizuoka Prefecture, Japan
Q697444	Defense ministry of the Republic of China located in Taipei, Taiwan.
Q697616	1978 television anime
Q698497	German train station
Q698591	municipality in Austria
Q699579	prison
Q699684	2005 film by Seiji Mizushima
Q700058	skyscraper in Central, Hong Kong
Q701317	Japanese anime television series
Q701755	German supermarket chain
Q702116	maritime service branch of the Republic of China Armed Forces in Taiwan
Q703955	theatre and theatre company in Berlin, Germany
Q704082	9th season of the Bundesliga
Q704087	14th season of the Bundesliga
Q704257	town in Western Australia
Q704324	19th season of the Bundesliga
Q705983	German currency from 1914-1923
Q706042	Army of the Kingdom of Prussia that lasted from 1701 to 1919
Q708100	23rd season of the Bundesliga
Q710324	Japanese anime television series
Q711148	Japanese anime television series
Q711257	2003 anime series directed by Seiji Mizushima
Q712644	human settlement
Q713826	mountain in Akita Prefecture, Japan
Q714031	anime series
Q714078	manga series
Q715436	the currency of Japanese Taiwan from 1895 to 1946
Q715719	2008 video game expansion
Q715869	National legislature of Taiwan
Q717600	2015 open world action-adventure stealth video game
Q719903	Argentine island enclaved within the Uruguayan waters of the Río de la Plata
Q720625	city in Fukuoka Prefecture, Japan
Q721030	order of chivalry associated with Scotland
Q721140	Chicago-based daily Internet publication
Q723644	association football club in Croatia
Q724065	national association football team
Q724798	association football club
Q725108	open-air museum and zoo, showing Swedish folk culture and way of life in the pre-industrial era
Q725261	town in the borough of Ashford in Kent, England
Q725311	city in Hokkaidō, Japan
Q725332	Sports club in Sundsvall, Sweden
Q725800	football tournament
Q725963	football tournament
Q726545	1999 video game
Q726595	university in Rennes, France; established in 1970
Q727074	airline from Australia
Q728553	American comedy television series created by Dan Harmon
Q729006	town in Kent, England, United Kingdom
Q729786	university in Hungary
Q729809	2012 light novel and anime television series directed by Tatsuo Satō
Q730219	association football club in Poland
Q730285	municipality in the region of Päijänne Tavastia in Finland
Q730506	part of the city of Brussels, Belgium
Q732089	Programming language
Q732106	association football club
Q732669	French Catholic Diocese
Q732907	municipality of Spain
Q732929	association football club in Newcastle, Australia
Q733488	2005 fighting video game
Q734010	Spanish university
Q734400	city in Fukushima Prefecture, Japan
Q734749	diocese of the Catholic Church
Q735175	city in Shizuoka Prefecture, Japan
Q735261	financial institution in Canada
Q736332	association football club in Finland
Q737051	science award
Q737308	2011 video game
Q737421	municipality (consejo) in Asturias, Spain
Q738275	city in Saga Prefecture, Japan
Q739449	municipality in South Holland, the Netherlands
Q739951	region of Cameroon
Q740076	Byzantine monastery in Greece
Q740299	commune in Loiret, France
Q740339	1993 Japanese anime television film directed by Tomomi Mochizuki
Q740533	parliament of Guinea-Bissau
Q740666	Kazakh football club based in the Shakhtyor Stadium in Karagandy
Q740718	former political party in South Africa
Q740828	diocese of the Catholic Church
Q741144	diocese of the Catholic Church
Q741723	aerial warfare branch of the United States army from 1941 to 1947
Q742057	diocese of the Catholic Church
Q743752	town in Vrancea County, Romania
Q744353	association football team from Faro, Portugal
Q744704	city in the region of Lapland in Finland
Q745688	scientific journal
Q746756	silver-gilt medal, of which three are awarded each year by the Royal Society
Q746764	association football club in Serbia
Q747394	Greek bank
Q747541	train station in Paris, France
Q747769	second manned space flight in NASA's Project Gemini
Q748045	diocese of the Catholic Church
Q748085	Italian public university
Q748092	municipality in the region of Uusimaa in Finland
Q748301	earthquake struck mid Tōhoku region, Japan on June 14, 2008
Q748533	city in the region of Northern Savonia in Finland
Q748848	airport serving the city of Brno, Czech Republic
Q749589	Dutch association football club
Q749718	university in Oklahoma, United States of America
Q750083	Eurobasket
Q750673	political party in Flanders/Belgium
Q751994	women's national association football team representing Norway
Q752111	town and civil parish in West Oxfordshire, northwest of Oxford
Q752259	political party
Q752521	Serbian political party
Q753864	city in Toyama Prefecture, Japan
Q753920	municipality in Gelderland, the Netherlands
Q754339	association football club from Bromma, Sweden
Q754709	video game
Q754868	city in Allegany County, Maryland, United States
Q755018	city in northern Maryland, United States
Q755186	1994 first-person shooter developed by id Software
Q756175	programming language
Q756268	castle in Scotland
Q756294	administrative division of Ukraine since 1992, not occupying the whole peninsula [see Q15966495 for Russian subdivision proclaimed in 2014]
Q756433	stadium in Glendale, Arizona
Q760714	City in Bihar, India
Q761641	military decoration of the Soviet Union
Q763586	university in Brno, Czech Republic
Q764049	prison
Q764897	2006 film directed by Kenji Kamiyama
Q767400	Hungarian association football club
Q767753	international airport serving Anchorage, Alaska
Q767858	town in Worcestershire, England
Q770728	earthquake in Japan
Q771305	railway line in Japan
Q772114	association football club
Q772610	diocese of the Catholic Church
Q773662	regional airline in the contiguous United States
Q774015	metropolitan borough in West Yorkshire, England
Q774098	city of Poland
Q774138	event location
Q775299	town in Wiltshire, England
Q777060	railway line
Q777074	political party in Myanmar (Burma)
Q777358	programming language
Q777855	International airport in Belarus
Q780539	association football team in Spain
Q781371	university with six campuses across Australia
Q781839	diocese of the Catholic Church
Q781961	office skyscraper in Queens, New York
Q782116	university
Q782983	association football club
Q783210	town and civil parish in Berkshire, England
Q783945	diocese of the Catholic Church
Q784628	diocese of the Catholic Church
Q784965	association football club in South Africa
Q785059	episode of Star Trek: The Next Generation (S1 E9)
Q785697	Japanese publishing company
Q786105	diocese of the Catholic Church
Q787131	award
Q788906	regional airline based in New South Wales, Australia
Q791652	mountain
Q792596	market town and civil parish in Devon, England, UK
Q793457	association football league
Q793699	Internet radio platform
Q794028	political party
Q794563	French airport authority
Q795231	company operating railways in Romania
Q796158	The flag carrier of Turkmenistan, headquartered in Ashgabat.
Q801388	railway station in Rotterdam, Netherlands
Q802754	railway line
Q802974	railway line
Q804282	town in Torfaen
Q805757	rail system in the United States of America
Q805807	sled dog
Q806160	market town and civil parish on the River Cherwell in Oxfordshire, England
Q809009	town and community in the Vale of Glamorgan, Wales, UK
Q810678	city in Texas, USA
Q810784	town in Maine, United States
Q815348	Italian political party, founded in 1943 and dissolved in 1994
Q816377	university
Q816779	association football club
Q817369	2005 video game
Q818019	City in Morocco
Q818321	municipality of Asturias, Spain
Q818846	pharmaceutical company
Q819174	city in Niigata Prefecture, Japan
Q819332	association football club
Q819367	association football club in Germany
Q819425	State-owned/operated national railway system of India
Q819629	city in Mie Prefecture, Japan
Q820862	1949 play by Arthur Miller
Q823600	market town and unparished area in Derbyshire, England
Q823623	municipality in East Flanders, Belgium
Q824000	city in Yamanashi prefecture, Japan
Q824020	city in Shiga Prefecture, Japan
Q825883	municipality in Catalonia, Spain
Q826100	award
Q826561	Minster town in West Yorkshire, England
Q828753	city in San Diego County, California, United States
Q830079	award for excellence in sound mixing in film
Q831015	Political party in Ireland
Q831527	island and urban district in Stockholm, Sweden
Q832355	university
Q832644	indoor arena in Vancouver, Canada, mainly used for ice hockey
Q832758	season of television series
Q833154	set of annual awards presented by the Mystery Writers of America
Q834567	town in Hungary
Q834872	1999 racing video game in Crash Bandicoot universe
Q836150	Higher education institution in Ibaraki Prefecture, Japan
Q836279	association football club in Poland
Q837110	diocese of the Catholic Church
Q837161	town in Timiș County, Romania
Q837167	town in Hunedoara County, Romania
Q837183	association football club in Spain
Q837346	role-playing video games
Q837519	twin-bore trunk road tunnel in Hong Kong
Q838062	Concurrent programming language
Q838678	city in Ehime Prefecture, Japan
Q839466	American pizza restaurant chain
Q839723	women's national football team representing North Korea
Q840591	city in Hiroshima Prefecture, Japan
Q840663	former municipality of the Netherlands
Q840699	video game
Q841847	diocese of the Catholic Church
Q842134	association football club in Romania
Q842286	city in Hokkaidō, Japan
Q843001	town in Győr-Moson-Sopron county, Hungary
Q843131	2008 crossover fighting video game
Q843449	commune in Pyrénées-Atlantiques, France
Q844012	independent city in Virginia, United States
Q844062	town and civil parish in Worcestershire
Q844787	radical far-right Ukrainian ultranationalist political organization
Q844822	Japanese publishing company
Q845067	association football team in Châteauroux, France
Q845794	city in Shiga Prefecture, Japan
Q845954	railway line of Tobu Railway
Q846362	association football club
Q846421	city in California
Q846655	Transport company
Q846710	park
Q846728	railway line
Q847099	concert hall and music conservatory in Budapest, Hungary
Q847117	Higher education institution in Gifu Prefecture, Japan
Q847285	island in South Kuril Islands
Q847296	integrated development environment (IDE) product by Microsoft
Q847305	archdiocese in Bolivia
Q847319	city in Gifu Prefecture, Japan
Q847543	city in Fukui Prefecture, Japan
Q847546	city in Ōita Prefecture, Japan
Q847587	association football club in Italy
Q847591	city in Kagoshima Prefecture, Japan
Q847596	city in Oakland County, Michigan, USA
Q847886	Railway line of Beijing Subway
Q847914	communist party
Q848230	archdiocese
Q849434	city in Yamanashi Prefecture, Japan
Q849584	municipality of Brazil
Q850352	city in Niigata Prefecture, Japan
Q850496	city of Yamagata prefecture, Japan
Q851048	town in Timiș County, Romania
Q851244	municipality in Gelderland, Netherlands
Q851310	former municipality in Friesland, the Netherlands
Q851411	city in Toyama Prefecture, Japan
Q851675	city in Okayama Prefecture, Japan
Q853043	association football club (1905-2012)
Q854890	association football club in Dumfries, Scotland
Q856280	association football club
Q856287	association football club
Q858844	International Airport near Almaty
Q860003	commune in Gard, France
Q860450	college of the University of the Arts London
Q860903	2012 film by Tatsuya Nagamine
Q861255	city in Kagawa Prefecture, Japan
Q861296	city in Fukuoka prefecture, Japan
Q861524	association football club
Q862850	Japanese manga series
Q863813	public university in New York State
Q864060	Fast-firing automatic weapon with many barrels
Q864117	flag carrier airline of the Sudan
Q864298	association football league
Q864668	Historic county, registration county, and lieutenancy area of Scotland
Q864827	town in Sumy Oblast in northern Ukraine
Q864855	public research university in Atlanta, Georgia, United States
Q865735	former association football club in Belgium
Q866877	diocese of the Catholic Church in the Philippines
Q866995	diocese of the Catholic Church
Q867038	diocese of the Catholic Church
Q867046	diocese of the Catholic Church
Q867190	diocese of the Catholic Church
Q867594	diocese of the Catholic Church
Q867717	railway tunnel
Q867861	diocese of the Catholic Church
Q867938	diocese of the Catholic Church
Q868010	diocese of the Catholic Church
Q868026	diocese of the Catholic Church
Q868041	diocese of the Catholic Church
Q868043	diocese of the Catholic Church
Q868105	diocese of the Catholic Church
Q868126	diocese of the Catholic Church
