C0979237	oxytetracycline_125_mg_oral_capsule
C1520354	chromosome_11_short_arm
C3256309	sodium_starch_glycolate_type_a_potato
C0228765	lingual_branch_of_glossopharyngeal_nerve
C1124733	albumin_human__usp_250_mg_ml
C0017789	glutamates
C3555254	C3555254
C2969774	C2969774
C1373044	C1373044
C1184510	C1184510
C3154056	cetylpyridinium_chloride
C2586994	diltiazem_hydrochloride_60_mg
C3870339	C3870339
C3171919	C3171919
C0687772	acetazolamide
C0938592	didanosine_125_mg_delayed_release_oral_capsule
C2710683	gavilyte_g_powder_for_oral_solution
C0980014	risperidone
C2984569	bacterial_invasion_of_epithelial_cell_pathway
C2700656	lamictal_25_mg_24_hr_extended_release_oral_tablet
C1452493	ptprk_protein__human
C3225391	advair_inhalant_product
C3870592	C3870592
C0009918	joint_contracture
C3486602	chamaelirium_luteum_root_extract
C3495428	aluminum_silicate
C0036516	secobarbital
C3654585	C3654585
C3527740	C3527740
C0710510	C0710510
C1572490	C1572490
C0010578	cycloalkanes
C1835044	cutaneous_malignant_melanoma_2
C0804312	C0804312
C1417953	opa1_gene
C1183798	C1183798
C0482545	C0482545
C1512255	high_grade_endometrial_endometrioid_adenocarcinoma
C3486010	atopalm_first_aid_and_pain_relief_500_unt___3.5_mg___10_000_unt___10_mg_per_gm_topical_ointment
C1853562	C1853562
C1875255	C1875255
C3535205	C3535205
C0994636	aminess_5.2___injectable_solution
C0368790	borrelia_burgdorferi_dna
C1372020	C1372020
C0551523	C0551523
C1866423	factor_v_quebec
C2708790	C2708790
C0363639	C0363639
C2735911	C2735911
C0039938	thioredoxins
C0221356	brachycephaly
C1372323	C1372323
C3555169	C3555169
C1507261	C1507261
C0927236	C0927236
C0223674	structure_of_linea_terminalis_of_pelvis
C0485347	C0485347
C3152731	C3152731
C0689837	ofloxacin
C3640962	stage_2b_neuroblastoma
C3282506	decylene_glycol
C0001641	alpha_adren_block
C1367654	marginal_zone_lymphoma
C1336377	stage_ivb_liver_cancer
C1247054	naphazoline_ophthalmic_solution
C0693283	dimethicone
C0227075	structure_of_permanent_mandibular_right_third_molar_tooth
C1185940	C1185940
C1356172	zinc_pyrithione_1.5___medicated_shampoo
C0012171	dietary_fat
C1169989	buprenorphine_naloxone
C1643610	C1643610
C0941851	C0941851
C1737283	phenylephrine_hcl_1_mg_ml___pyrilamine_maleate_3.2_mg_ml_oral_suspension
C1524167	C1524167
C0010467	curcumin
C0226717	structure_of_suprarenal_vein
C3665489	borderline_epithelial_tumor_of_ovary
C1849128	kjellin_syndrome
C4014239	C4014239
C3146252	stage_ii_colorectal_cancer_ajcc_v7
C0055617	chromic_chloride
C1335258	pretext_stage_4_hepatoblastoma
C1618707	minerals_multivitamins
C0504624	C0504624
C3151000	C3151000
C0925096	C0925096
C1336447	C1336447
C1247767	pyrantel_oral_suspension
C0503457	C0503457
C0699999	lioresal
C1179600	C1179600
C3655097	C3655097
C2598450	C2598450
C1533585	fusion_gene
C0994734	C0994734
C1114339	C1114339
C0990572	theophylline_10_mg_ml
C3263194	C3263194
C1657605	C1657605
C3654732	C3654732
C0820962	C0820962
C2973226	C2973226
C1996313	ivy_dry_cream_10_____0.6_____0.4___topical_cream
C0861222	ann_arbor_stage_iv_centroblastic_lymphoma
C3483517	C3483517
C4069921	C4069921
C3504616	jointflex_3.1___topical_cream
C2741082	camphor_4_____menthol_4___topical_ointment
C0356649	ritodrine_hydrochloride
C0486728	eastern_equine_encephalitis_virus_igm
C0482568	C0482568
C3263196	C3263196
C3150414	muscular_dystrophy_dystroglycanopathy__congenital_with_brain_and_eye_anomalies__type_a__6
C4013764	C4013764
C3818115	C3818115
C1333993	sdh_related_familial_paraganglioma
C3870421	C3870421
C0979856	C0979856
C4026602	C4026602
C4080660	C4080660
C1829620	C1829620
C0020962	immune_system
C3818539	C3818539
C0231553	osteoid_formation
C0000392	beta_alanine
C3216822	ergoloid_mesylates__usp_oral_product
C2923763	C2923763
C0036220	kaposi_sarcoma
C1707103	cd4_wt_allele
C0815349	C0815349
C0017086	gangrene
C0989059	potassium_chloride_10_meq
C2240738	_56__ribavirin_600_mg_oral_tablet____pack
C3644447	C3644447
C3504569	C3504569
C0368900	chlamydia_trachomatis_antibody
C3655163	C3655163
C0551019	C0551019
C0975055	brompheniramine_maleate_6_mg___pseudoephedrine_hcl_60_mg_12hr_extended_release_oral_capsule
C3256332	ammonio_methacrylate_copolymer_type_a
C1335990	small_intestinal_atypical_burkitt_burkitt_like_lymphoma
C0501590	structure_of_twelfth_thoracic_nerve
C3272832	colorectal_leiomyosarcoma
C1511934	differentiating_neuroblastoma
C1333906	hmga2_gene
C0945541	C0945541
C0501219	sixth_right_posterior_intercostal_vein
C3486396	colchicum_autumnale_bulb_extract
C0994659	C0994659
C0697871	inderal_la_80_mg_24hr_extended_release_oral_capsule
C1183740	C1183740
C2923213	C2923213
C0977779	iletin_ii_lente_pork_100_unt_ml_injectable_suspension
C0932577	C0932577
C1544930	C1544930
C2973128	C2973128
C0482376	C0482376
C0278554	rectal_cancer_recurrent
C0975970	chlorpheniramine_dextromethorphan_pseudoephedrine
C3213708	sodium_chloride_nasal_product
C0162733	glcnac_transferases
C3495447	strontium_carbonate_preparation
C0829172	C0829172
C0001422	adenofibroma
C1266013	grade_iii_glandular_intraepithelial_neoplasia
C3848087	C3848087
C2752047	zechi_ceide_syndrome
C0923481	C0923481
C1418202	otx2_gene
C0224881	structure_of_extensor_pollicis_longus_muscle_tendon_sheath
C4015160	C4015160
C0447789	manubriosternal_symphysis
C1519867	broad_ligament_clear_cell_adenocarcinoma
C0015934	microsomia
C3700693	C3700693
C0376558	life
C0976870	C0976870
C0933287	C0933287
C0506745	C0506745
C1332954	childhood_central_nervous_system_immature_teratoma
C0007613	physiol_cell
C1514632	quinone_metabolism
C0005716	blastomycosis
C1165441	riboflavin_1.7_mg
C1332803	ctnnb1_gene
C0688916	fluphenazine
C0447781	sixth_costotransverse_joint
C0678051	stage_ii_carcinoma_of_adrenal_cortex
C1720962	dcr1_receptor
C3538822	ras_related_c3_botulinum_toxin_substrate_3
C1184658	C1184658
C2973209	C2973209
C0735091	C0735091
C3488961	polyethylene_glycol_700
C0925157	C0925157
C1716119	C1716119
C3497074	C3497074
C0042238	vaginal_cream
C1183051	C1183051
C0980188	nahco3_0.595_meq_ml_injectable_solution
C3176827	C3176827
C0795649	oat_bran
C2719905	amphetamine_resin_complex
C1158921	peptide_metabolism
C1837514	phenotypic_variation
C0799300	C0799300
C3152311	C3152311
C0432239	kyphomelic_dysplasia
C0063124	hydroxycitronellal
C0503246	C0503246
C0500519	C0500519
C0507396	C0507396
C1705341	ptk2b_wt_allele
C0027740	nerve_structure
C0025080	device_med
C1507330	C1507330
C0027055	inj_myocardial_reperfusion
C1185733	C1185733
C0980061	C0980061
C1526916	C1526916
C0346151	scirrhous_carcinoma_of_breast
C0281641	adult_acute_myeloid_leukemia_with_minimal_differentiation
C0279954	stage_i_grade_i_follicular_lymphoma
C3654915	C3654915
C3169363	C3169363
C0503100	C0503100
C1145628	ans_dis
C1333099	colon_oat_cell_carcinoma
C0036581	selenium
C0979930	quinidine_sulfate_200_mg_oral_capsule
C0449444	route
C1365825	zinc_oxide
C1953859	C1953859
C0229027	structure_of_intermesenteric_plexus
C2598696	C2598696
C0925551	C0925551
C4037198	C4037198
C0781696	sulfisoxazole_100_mg_ml_oral_solution
C1336117	stage_ia_lung_adenocarcinoma_ajcc_v7
C0507395	C0507395
C3204546	C3204546
C4049000	ciprofloxacin
C1708767	lung_biphasic_synovial_sarcoma
C0224539	structure_of_parietomastoid_suture_of_skull
C0854993	lung_squamous_cell_carcinoma_stage_iii
C3488567	C3488567
C1953336	C1953336
C3255504	C3255504
C3665420	cervical_spine
C0833588	C0833588
C2984483	p38_alpha_and_p38_beta_signaling_pathway
C0485398	C0485398
C2697638	hypodiploid_b_acute_lymphoblastic_leukemia
C0854894	angiosarcoma_recurrent
C2700665	lamotrigine
C1830152	C1830152
C0504468	C0504468
C0029984	oxadiazole
C0242910	eaa_antag
C0976334	dibucaine_10_mg_ml_topical_cream
C0994640	C0994640
C3258812	C3258812
C0688115	captopril_hydrochlorothiazide
C1524134	C1524134
C1252137	hydroquinone_topical_cream
C0503902	C0503902
C3218481	tacrolimus_pill
C0699770	proventil
C3249277	dihydrocodeine_bitartrate_0.6_mg_ml
C1644626	C1644626
C0227888	theca_folliculi_structure
C0669024	oleth_3_phosphate
C1508327	C1508327
C3871773	C3871773
C0803257	C0803257
C3281348	C3281348
C3655679	C3655679
C3817660	pramoxine_hcl_0.25_____hydrocortisone_0.05_____lidocaine_hcl_0.05___medicated_shampoo
C3538032	bos_taurus_placenta_preparation
C0432235	levin_syndrome_i
C0041309	skin_tuberculosis
C0804304	C0804304
C1334719	metastatic_jugulotympanic_paraganglioma
C0083858	l1_protein__hpv_type_16
C0004238	atrial_fibrillation
C0228786	renal_branch_of_vagus_nerve
C0038293	sternum
C0500838	C0500838
C0483969	C0483969
C0058217	dimethyl_ether
C0226800	structure_of_palmar_metacarpal_vein
C0031430	phenolsulfonphthalein
C1334771	minor_salivary_gland_carcinoma
C3540577	C3540577
C3892515	daclatasvir_60_mg_oral_tablet
C4074289	C4074289
C4037705	C4037705
C3897531	C3897531
C0976726	erythromycin_estolate_125_mg_oral_capsule
C1186714	C1186714
C3474143	alo__histamine_dihydrochloride_0.1_____menthol_3_____topical_cream
C2923162	C2923162
C1184484	C1184484
C1185780	C1185780
C1371856	C1371856
C2828014	stage_iib_merkel_cell_carcinoma_ajcc_v7
C0019588	histamine
C3639131	cdisc_questionnaire_npi_test_code_terminology
C1516882	environment_to_cell_communication
C2702455	dexamethasone
C1543646	C1543646
C4051010	C4051010
C0018081	gonorrhea
C0018321	guanine
C1185545	C1185545
C2937894	carbinoxamine_maleate_8_mg
C2969931	C2969931
C3668624	C3668624
C0005956	bone_marrow_disorder
C2265753	C2265753
C0503328	C0503328
C0810159	C0810159
C3669283	factor_xa_inhibitor
C3209030	dextroamphetamine_oral_product
C3272793	fsa
C0152310	brodmann_area_21
C0836443	C0836443
C1130333	cholecalciferol_200_unt
C0979876	pseudoephedrine_triprolidine
C1516000	antilipidemic_agent
C0355708	valproic_acid_500_mg_delayed_release_oral_capsule
C1543933	C1543933
C0879806	C0879806
C3210540	carbon_dioxide___oxygen_inhalant_product
C3489339	C3489339
C3496656	C3496656
C1329762	benicar_hct_40_25_oral_tablet
C0974671	azithromycin
C3549354	C3549354
C3173370	C3173370
C2735215	C2735215
C2735217	C2735217
C0975704	clindamycin
C3834001	C3834001
C2730032	levothyroxine
C3654551	C3654551
C4051198	C4051198
C2267069	C2267069
C1336512	stromal_change
C3214352	urea_topical_product
C0485742	C0485742
C0079441	polyergin
C1711232	nasopharyngeal_basaloid_carcinoma
C0921191	C0921191
C3857841	C3857841
C3818096	C3818096
C3176447	C3176447
C0226455	structure_of_profunda_femoris_artery
C4056368	C4056368
C0364295	C0364295
C3496868	C3496868
C0431129	adamantinous_craniopharyngioma
C1519321	signet_ring_cell_intrahepatic_cholangiocarcinoma
C0703985	epinephrine_lidocaine
C1837822	burn_mckeown_syndrome
C3204507	C3204507
C0501154	C0501154
C0980585	theo_sav_300_mg_extended_release_oral_tablet
C0037579	soft_tissue_neopl
C0836685	C0836685
C1864872	semd__genevieve_type
C0793347	ethosuximide
C1182915	C1182915
C0015499	owren_disease
C3488644	triticum_aestivum_extract
C1147233	C1147233
C1335747	kidney_extraskeletal_osteosarcoma
C0011522	deoxyribonuclease
C3167816	C3167816
C0978829	C0978829
C0482675	C0482675
C0003315	accessory_cell_immunol
C1116304	C1116304
C2706834	C2706834
C0001648	adren_ag
C1831331	C1831331
C0887700	sodium_acetate__anhydrous
C0484536	C0484536
C2946097	C2946097
C0005847	blood_vessel
C0265966	hereditary_benign_intraepithelial_dyskeratosis
C3870050	C3870050
C0818614	C0818614
C0593505	advil_200_mg_oral_tablet
C3550903	C3550903
C1182121	C1182121
C2706159	C2706159
C0929130	C0929130
C0153957	benign_cardiac_neoplasm
C0800968	C0800968
C1336729	testicular_teratoma_with_somatic_type_malignancy
C0797140	C0797140
C0506994	goblet_cell
C1866994	schinzel_syndrome
C0819945	C0819945
C0993194	pioglitazone
C0774375	apap_100_mg_ml_oral_solution
C0483157	C0483157
C0690530	thioridazine_150_mg_oral_tablet
C1858424	cytochrome_c_oxidase_deficiency__fatal_infantile__with_cardioencephalomyopathy
C4071725	C4071725
C1332322	apoptosis_promoter
C0003886	arthrogryposis
C3642981	C3642981
C3482763	C3482763
C3848699	regular_insulin_90_inhalation_powder_pack___60__4_unt___30__8_unt_
C1178969	cell_component
C3533865	C3533865
C0804694	C0804694
C0988083	niacin_500_mg
C3173329	C3173329
C1877565	amino_acids_dextrose_electrolytes
C1372842	C1372842
C0020326	hydroxyapatites
C2729753	dimethicone
C0225024	structure_of_costoxiphoid_ligaments
C3864583	C3864583
C3809645	C3809645
C1521610	chromosome_7_short_arm
C3817652	C3817652
C3817828	C3817828
C2741426	C2741426
C0019643	hdac_proteins
C0458668	lumen_of_ejaculatory_duct
C0026845	muscle
C0881979	C0881979
C0230162	central_tendon_of_diaphragm_structure
C3555056	C3555056
C0038311	steroid_hydroxylase
C1877853	somatropin
C0934679	C0934679
C0483730	C0483730
C4048635	haloperidol
C0854770	oesophageal_squamous_cell_carcinoma_stage_0
C0015677	fat
C0976347	diclofenac
C0504604	C0504604
C0158761	radioulnar_synostosis
C0979758	prednisone_25_mg_oral_tablet
C0041350	tuftsin
C1185688	C1185688
C0882450	C0882450
C3818300	C3818300
C2735921	C2735921
C0000975	acetate
C1315208	C1315208
C0549473	thyroid_cancer
C0819962	C0819962
C1836916	posterior_column_ataxia_with_retinitis_pigmentosa
C0933474	C0933474
C0003009	angiotensin_ii
C0032961	pregnancy
C1715078	C1715078
C4036484	C4036484
C0771284	cefepime_hydrochloride
C0941452	C0941452
C3496434	C3496434
C0503571	C0503571
C1724261	acetaminophen_325_mg___dextromethorphan_hbr_15_mg___guaifenesin_200_mg___phenylephrine_hcl_5_mg_oral_tablet
C3663335	joint_formula_88_max_plus__camphor_3.18_____topical_cream
C0369760	organic_acid
C1657733	C1657733
C2720339	nuclear_receptor_nr4a3
C0369998	smooth_muscle_antibody
C1978094	C1978094
C3176298	C3176298
C0013456	otalgia
C0022625	ketoconazole
C0830210	C0830210
C0502815	C0502815
C0819849	C0819849
C0037531	nafcillin_sodium
C0986690	indomethacin_25_mg
C0598312	dna_replication
C1865322	migraine__familial_hemiplegic__2
C0230456	both_ankles
C4081456	C4081456
C2735843	C2735843
C0227383	structure_of_colic_flexure
C3496914	C3496914
C3832095	C3832095
C3151445	dyskeratosis_congenita__autosomal_dominant_3
C1585813	fazaclo_25_mg_disintegrating_oral_tablet
C0022889	labyrinth
C0265971	hopf_disease
C0029005	oncoprotein
C1514104	neoplastic_stromal_cell
C0037036	sialorrhea
C0923708	C0923708
C3213146	simethicone_pill
C3692262	C3692262
C0737428	C0737428
C0025978	microfilament_protein
C0817307	C0817307
C0020926	imide
C0266544	microcornea
C2962700	acetaminophen_chlorpheniramine_dextromethorphan
C1150358	C1150358
C1266026	parietal_cell_carcinoma
C0482513	C0482513
C0363091	C0363091
C1710258	surgical_procedure_by_method
C1266096	thymoma__type_b2__malignant
C0226952	structure_of_dorsum_of_tongue
C0800680	C0800680
C1572397	C1572397
C3482839	C3482839
C0222259	skin_structure_of_little_finger
C3832898	C3832898
C3535361	C3535361
C1114141	C1114141
C0033975	psychotic_disorder
C0025619	mesilate
C1319722	risperidone
C0689819	nortriptyline
C3833006	C3833006
C0333735	gemistocyte
C3654937	C3654937
C1336318	stage_ii_small_cell_lung_cancer
C1332967	pediatric_diffuse_large_b_cell_lymphoma
C0038172	staphylococcus_aureus
C3643010	C3643010
C0032131	plasmacytoma
C4034148	methotrexate_auto_injector
C2946236	lysol_0.13___medicated_liquid_soap
C4014767	C4014767
C0226149	structure_of_masseteric_artery
C1716527	C1716527
C3818107	C3818107
C3668575	C3668575
C3857500	C3857500
C0005642	bismuth
C3857449	C3857449
C2063099	benign_ovarian_endometrioid_tumor
C0038581	substance_k
C0825526	C0825526
C2683943	follitropin
C4025983	vital
C0942486	C0942486
C0930312	C0930312
C0690307	scopolamine_1_mg_ml_injectable_solution
C1446427	C1446427
C2981714	C2981714
C3654983	C3654983
C1514025	neoplastic_mesothelial_cell
C1526393	C1526393
C0368259	C0368259
C1863616	acromelic_frontonasal_dysostosis
C1335959	stat5b_protein__human
C1524618	C1524618
C3887827	esomeprazole_strontium_49.3_mg_delayed_release_oral_capsule
C1332215	adult_spinal_cord_ependymoma
C2345038	alanine_4.22_mg_ml___arginine_4.32_mg_ml___aspartate_2.98_mg_ml___glucose_100_mg_ml___glutamate_3.14_mg_ml___glycine_2.12_mg_ml___histidine_1.28_mg_ml___isoleucine_2.8_mg_ml___leucine_4.25_mg_ml___lysine_4.46_mg_ml___methionine_0.73_mg_ml___phenylalanine_1.26_mg_ml___proline_3.07_mg_ml___serine_2.25_mg_ml___threonine_1.7_mg_ml___tryptophan_0.85_mg_ml___tyrosine_1.15_mg_ml___valine_2.12_mg_ml_injectable_solution
C2986668	stage_iii_adult_liver_cancer_ajcc_v7
C1336185	stage_iib_lung_adenocarcinoma_ajcc_v7
C0162485	zygomatic_arch
C0030867	pentanes
C2984417	il12_mediated_signaling_pathway
C2586840	diphtheria_pertussis_poliovirus_tetanus
C3262461	C3262461
C1524830	C1524830
C0736961	C0736961
C1155839	C1155839
C2962961	tussicaps_full_strength_10_mg___8_mg_12hr_extended_release_oral_capsule
C4073819	C4073819
C2966875	C2966875
C1126197	benzoyl_peroxide_25_mg_ml
C1526672	C1526672
C0735446	C0735446
C0007120	alveolar_carcinoma
C0978306	C0978306
C0978256	loteprednol
C1316027	C1316027
C0973891	ethanol_0.28_ml_ml___salicylic_acid_5_mg_ml_topical_lotion
C0042401	vasodilatation
C0712109	docusate
C0688559	diazepam
C0700539	hydroxyzine_pamoate
C3834035	C3834035
C1875889	travasol_8.5___injectable_solution
C3505723	C3505723
C0041004	triacylglycerol
C0165949	y1_protein__human
C0923924	right_pulmonary_artery
C0945369	C0945369
C3892799	C3892799
C0482516	C0482516
C3537415	trimethylsiloxysilicate__m_q_0.6_0.8_
C0484605	C0484605
C2954253	C2954253
C3893824	C3893824
C0089267	duvoglustat
C3464998	C3464998
C0795939	pseudoaminopterin_syndrome
C2678061	scapuloperoneal_myopathy__fhl1_related
C0041638	umbilicus
C0979637	potassium_chloride
C1844936	schmidley_syndrome
C1514102	neoplastic_stellate_cell
C0425560	cardiovascular_finding
C1544305	C1544305
C1185706	C1185706
C1708602	head_and_neck_keratinizing_squamous_cell_carcinoma
C2961332	C2961332
C1518705	ovarian_dermoid_cyst_with_secondary_carcinoma
C1954020	C1954020
C1698467	acetaminophen_dextromethorphan
C1705776	crebbp_wt_allele
C1420439	ss18_gene
C0081942	lfa_3
C1847879	C1847879
C0238448	testicular_embryonal_carcinoma
C0229681	splenic_capsule_structure
C2973038	C2973038
C0223350	structure_of_body_of_tenth_thoracic_vertebra
C0804634	C0804634
C0016278	flucytosine
C0976554	doxycycline
C1517152	mouse_female_reproductive_system
C1332562	bladder_paraganglioma
C0311417	C0311417
C0034262	pyridostigmine_bromide
C0979645	k__chloride_0.2_meq_ml_injection
C1566416	adam_proteins
C0552985	C0552985
C0484592	C0484592
C1827614	levothyroxine
C0980543	tetracycline_hydrochloride_10_mg_ml_ophthalmic_suspension
C1564425	organogold_cpds
C0084219	hck_protein__human
C2702061	quetiapine
C1335327	thymic_papillary_carcinoma
C0702531	haloperidol_decanoate_50_mg_ml_injectable_solution
C1417838	nr5a1_gene
C0033532	pgd2
C0923487	C0923487
C0924697	C0924697
C0994739	C0994739
C1183640	C1183640
C1830203	C1830203
C0007137	squamous_cell_carcinoma
C0013162	drug_combination
C1156963	C1156963
C0022925	lactation
C0484598	C0484598
C2946611	pramoxine_hcl_1___medicated_pad
C0392419	fungicide
C0086983	silicate
C3151753	C3151753
C3256949	sorbitan_olivate
C3871213	C3871213
C1334297	jejunal_somatostatin_producing_neuroendocrine_tumor
C0738322	C0738322
C2599495	C2599495
C0367476	C0367476
C0544372	estradiol_injectable_solution
C0224999	structure_of_intertransverse_ligaments
C1182983	C1182983
C0975601	chlorpheniramine_maleate_6_mg_extended_release_oral_capsule
C0033231	prochlorperazine_maleate
C0066510	cationic_host_defense_peptides
C3208064	calcium_carbonate___magnesium_hydroxide_pill
C0691968	ephedrine_sulfate_25_mg_oral_capsule
C0552928	C0552928
C0770565	dexamethasone_phosphate
C0151907	skin_discolouration
C0348000	C0348000
C0020626	hypoparathyroidism
C0053917	bombesin_recept
C0730304	cavernous_hemangioma_of_retina
C0921244	C0921244
C0804734	C0804734
C3870140	C3870140
C3655154	C3655154
C1354998	clobetasol
C0854849	recurrent_mycosis_fungoides
C0018284	growth_factor
C3833319	C3833319
C1586027	somatropin
C0008141	chitin
C4071390	C4071390
C1182027	C1182027
C0447577	structure_of_ureteral_orifice
C2973146	C2973146
C3667435	C3667435
C1185726	cutaneous_vein
C0922817	C0922817
C1320103	gemifloxacin
C3654818	C3654818
C0776387	2_ml_gentamicin_10_mg_ml_injection
C0265286	dyggve_melchior_clausen_syndrome
C0038880	suramin
C1183044	C1183044
C3818129	C3818129
C0025320	menopause
C1512599	il7_signaling_pathway
C0003166	anthralin
C0979204	oxycodone_hcl_10_mg___acetaminophen_650_mg_oral_tablet
C1525223	C1525223
C1964988	synthetic_conjugated_estrogens__b_0.9_mg_oral_tablet
C0353148	meperidine_hydrochloride
C3500788	apap_250_mg___asa_250_mg___caffeine_65_mg_oral_tablet__backaid_ipf_
C1182953	C1182953
C0228749	facial_nerve_digastric_branch
C1247021	morphine_extended_release_oral_tablet
C4046505	C4046505
C1968087	ethinyl_estradiol_30_mcg___norethindrone_acetate_1_mg_oral_tablet
C3897539	C3897539
C0829881	C0829881
C0926615	C0926615
C0921087	C0921087
C0229684	structure_of_interstitial_tissue_of_spleen
C1327813	chromosome_14q
C2939461	myeloid_neoplasm
C1333542	fgfr2_gene
C0048070	4_anisic_acid
C1335727	refractory_mature_t_cell_and_nk_cell_non_hodgkin_lymphoma
C2682359	theophylline
C1264674	number_rate
C0924972	C0924972
C0923578	C0923578
C0354541	C0354541
C0079183	cyclin
C4069651	C4069651
C0941876	C0941876
C3555167	C3555167
C1526327	C1526327
C0014239	ergastoplasm
C1954193	C1954193
C0522015	C0522015
C0734216	C0734216
C0007075	carboxypeptidase
C0227321	structure_of_ileal_lumen
C3488032	comfrey_leaf_extract
C3700715	C3700715
C3855986	zenpep_40_delayed_release_oral_capsule
C3654773	C3654773
C3213519	guaifenesin___pseudoephedrine_oral_product
C0738089	C0738089
C3495099	adonis_vernalis_extract
C3474168	no_zit_sherlock_1___topical_gel
C3474013	clotrimazole_1___topical_foam
C1882010	sinonasal_tract
C0735382	C0735382
C0816899	C0816899
C0022984	laminin
C4060032	phenylephrine
C2613428	C2613428
C0019612	histiocyte
C2946867	C2946867
C3899690	character_result_or_finding_in_standard_format
C1416713	krt1_gene
C3644479	C3644479
C3281353	C3281353
C1875884	amino_acids_electrolytes
C3474263	C3474263
C3150858	C3150858
C3645172	C3645172
C3542912	calcium_calmodulin_dependent_protein_kinase__cam_kinase__ii_alpha
C1151947	C1151947
C0005910	body_weight
C1883685	tubular_structures_present
C3482499	C3482499
C0039615	tetanus_antitoxin
C0282650	bicyclo_cpds_heterocyclic
C3249366	hecoria_1_mg_oral_capsule
C0222141	skin_structure_of_shoulder
C1114555	C1114555
C0074785	slc9_proteins
C0937743	chlorpheniramine_maleate_2_mg___hydrocodone_bitartrate_5_mg___phenylephrine_5_mg_per_5_ml_oral_solution
C0007271	carotenoid
C1707827	ductal_eccrine_carcinoma_with_abundant_fibromyxoid_stroma
C3208602	calcium_carbonate___magnesium_carbonate_oral_product
C0278736	childhood_lymphoblastic_lymphoma_stage_ii
C0978004	isosorbide_mononitrate
C1638385	nexium_40_mg_delayed_release_oral_capsule
C3486627	anguilla_rostrata_blood_serum
C2948399	C2948399
C1831510	C1831510
C3692884	C3692884
C0501798	C0501798
C3870093	C3870093
C0002903	anesthesia
C0227526	structure_of_interlobular_artery_of_liver
C0923802	C0923802
C3535240	C3535240
C0026769	multiple_sclerosis
C2983710	C2983710
C4054265	promis_43_adult_profile_v2.0
C1335513	acinar_colloid_prostate_adenocarcinoma
C0690426	sulfinpyrazone_200_mg_oral_capsule
C0008925	cleft_palate
C2757025	C2757025
C3809236	C3809236
C4058394	C4058394
C0229337	right_external_auditory_canal_structure
C0743301	duodenal_adenoma
C2599320	C2599320
C0004501	azo_cpds
C3808940	cidec_related_familial_partial_lipodystrophy
C0934110	C0934110
C0730169	inferior_radioulnar_joint_structure
C3709703	C3709703
C0551631	C0551631
C0978000	isosorbide_mononitrate
C3709844	C3709844
C3693049	C3693049
C4069682	C4069682
C3654769	C3654769
C2983900	edetate_calcium_disodium_anhydrous
C0881602	C0881602
C1543256	C1543256
C4046560	C4046560
C1572514	multivitamin_herbal
C3482554	C3482554
C0312621	antimitochondrial_antibody
C0038530	subclavian_artery
C1521994	ccl3l1_protein__human
C2217035	C2217035
C0939125	amiodarone
C1334762	middle_ear_squamous_cell_carcinoma
C0810362	C0810362
C0017097	gardner_syndrome
C1316520	C1316520
C1544303	C1544303
C1714274	C1714274
C1333508	extrahepatic_bile_duct_leiomyosarcoma
C0039101	synovial_sarcoma
C0980546	tetracycline_hcl_250_mg_oral_tablet
C1182276	C1182276
C0017136	gastric_mucosa
C0280400	stage_iv_laryngeal_verrucous_carcinoma_ajcc_v7
C0149561	anterior_cerebral_artery
C3666893	C3666893
C3699395	C3699395
C2923084	C2923084
C3870539	C3870539
C2735927	C2735927
C0921141	C0921141
C1830305	C1830305
C3871737	rytary_48.75_mg___195_mg_8hr_extended_release_oral_capsule
C4069776	C4069776
C0206630	endometrial_stromal_sarcoma
C1313386	insulin_glulisine
C1524869	C1524869
C3700772	C3700772
C0035300	C0035300
C0924073	C0924073
C0268351	cutis_laxa__autosomal_recessive__type_i
C1517346	g2_to_m_transition_process
C0205456	10
C0002638	amniotic_fluid
C1441401	C1441401
C1107006	C1107006
C0689504	metaxalone
C0819817	C0819817
C0752124	spinocerebellar_ataxia_6
C1962429	ethinyl_estradiol_levonorgestrel
C3264643	infuvite_pediatric_injectable_solution
C0770546	porcine_heparin
C1524587	C1524587
C1341058	amphetamine_resin_complex
C2984462	regulation_of_nuclear_smad2_3_signaling_pathway
C3828960	more_than_half_the_days
C0691839	sodium_bicarbonate
C0982111	d_biotin
C3213435	fenofibrate_oral_product
C2970283	C2970283
C1533369	levofloxacin
C2362843	phentermine
C1257756	rna_degradation
C0447783	ninth_costotransverse_joint
C3208435	acellular_pertussis_vaccine__inactivated___diphtheria_toxoid_vaccine__inactivated___tetanus_toxoid_vaccine__inactivated_injectable_product
C1518179	malignant_epithelial_spindle_cell
C1719788	episodic_ataxia_type_1
C1519614	genetic_translation
C0982294	nux_vomica_extract
C0991749	temozolomide
C1442352	C1442352
C2918817	C2918817
C1543770	C1543770
C0349656	spindle_cell_squamous_cell_carcinoma
C0223616	coccygeal_vertebra_structure
C3172207	C3172207
C3484347	C3484347
C1336538	supratentorial_primitive_neuroectodermal_tumor
C1541469	recurrent_adult_grade_iii_lymphomatoid_granulomatosis
C0691537	hydrocortisone
C4080219	C4080219
C2735595	C2735595
C0708386	methergine_0.2_mg_oral_tablet
C3533743	C3533743
C3260314	C3260314
C1705089	cd3d_wt_allele
C0424711	hypotelorism_of_orbit
C1335356	carcinoma_ex_pleomorphic_adenoma_of_parotid_gland
C1711296	slit_like_vascular_channel_formation
